<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
HYDR,60,20150105,110000,0.5330000,0.5409000,0.5262000,0.5314000,24019000
HYDR,60,20150105,120000,0.5327000,0.5444000,0.5321000,0.5433000,20010000
HYDR,60,20150105,130000,0.5443000,0.5604000,0.5418000,0.5509000,67038000
HYDR,60,20150105,140000,0.5515000,0.5589000,0.5505000,0.5532000,15801000
HYDR,60,20150105,150000,0.5542000,0.5564000,0.5493000,0.5493000,16287000
HYDR,60,20150105,160000,0.5497000,0.5543000,0.5476000,0.5543000,12692000
HYDR,60,20150105,170000,0.5547000,0.5590000,0.5519000,0.5530000,17725000
HYDR,60,20150105,180000,0.5525000,0.5568000,0.5516000,0.5537000,13982000
HYDR,60,20150105,190000,0.5537000,0.5656000,0.5523000,0.5656000,66404000
HYDR,60,20150106,110000,0.5625000,0.5690000,0.5556000,0.5650000,42425000
HYDR,60,20150106,120000,0.5650000,0.5690000,0.5560000,0.5600000,63457000
HYDR,60,20150106,130000,0.5600000,0.5638000,0.5558000,0.5579000,28071000
HYDR,60,20150106,140000,0.5575000,0.5695000,0.5565000,0.5632000,38833000
HYDR,60,20150106,150000,0.5618000,0.5629000,0.5578000,0.5613000,13679000
HYDR,60,20150106,160000,0.5609000,0.5620000,0.5594000,0.5597000,6542000
HYDR,60,20150106,170000,0.5597000,0.5686000,0.5587000,0.5665000,20956000
HYDR,60,20150106,180000,0.5656000,0.5689000,0.5628000,0.5642000,32575000
HYDR,60,20150106,190000,0.5655000,0.5690000,0.5644000,0.5684000,24757000
HYDR,60,20150108,110000,0.5700000,0.5824000,0.5700000,0.5814000,32088000
HYDR,60,20150108,120000,0.5814000,0.5817000,0.5772000,0.5787000,30374000
HYDR,60,20150108,130000,0.5780000,0.5813000,0.5770000,0.5800000,26067000
HYDR,60,20150108,140000,0.5800000,0.5860000,0.5800000,0.5824000,46343000
HYDR,60,20150108,150000,0.5825000,0.5854000,0.5802000,0.5813000,12472000
HYDR,60,20150108,160000,0.5813000,0.5850000,0.5800000,0.5844000,23185000
HYDR,60,20150108,170000,0.5844000,0.5847000,0.5744000,0.5782000,20837000
HYDR,60,20150108,180000,0.5775000,0.5847000,0.5758000,0.5819000,30105000
HYDR,60,20150108,190000,0.5819000,0.5832000,0.5764000,0.5772000,38577000
HYDR,60,20150109,110000,0.5774000,0.5840000,0.5774000,0.5813000,32296000
HYDR,60,20150109,120000,0.5803000,0.5809000,0.5670000,0.5678000,42675000
HYDR,60,20150109,130000,0.5680000,0.5716000,0.5671000,0.5687000,20332000
HYDR,60,20150109,140000,0.5697000,0.5710000,0.5481000,0.5494000,92186000
HYDR,60,20150109,150000,0.5497000,0.5538000,0.5473000,0.5490000,32780000
HYDR,60,20150109,160000,0.5486000,0.5497000,0.5438000,0.5450000,25683000
HYDR,60,20150109,170000,0.5448000,0.5575000,0.5447000,0.5521000,35210000
HYDR,60,20150109,180000,0.5511000,0.5550000,0.5487000,0.5504000,17469000
HYDR,60,20150109,190000,0.5514000,0.5563000,0.5498000,0.5498000,24386000
HYDR,60,20150112,110000,0.5451000,0.5590000,0.5401000,0.5507000,53561000
HYDR,60,20150112,120000,0.5507000,0.5529000,0.5428000,0.5482000,32934000
HYDR,60,20150112,130000,0.5482000,0.5495000,0.5440000,0.5463000,11590000
HYDR,60,20150112,140000,0.5465000,0.5478000,0.5427000,0.5457000,11267000
HYDR,60,20150112,150000,0.5447000,0.5479000,0.5430000,0.5435000,4842000
HYDR,60,20150112,160000,0.5435000,0.5469000,0.5427000,0.5449000,17738000
HYDR,60,20150112,170000,0.5449000,0.5479000,0.5425000,0.5425000,26981000
HYDR,60,20150112,180000,0.5425000,0.5460000,0.5425000,0.5425000,12549000
HYDR,60,20150112,190000,0.5425000,0.5474000,0.5425000,0.5451000,20853000
HYDR,60,20150113,110000,0.5451000,0.5474000,0.5371000,0.5427000,27639000
HYDR,60,20150113,120000,0.5434000,0.5550000,0.5432000,0.5474000,48665000
HYDR,60,20150113,130000,0.5474000,0.5493000,0.5456000,0.5469000,20458000
HYDR,60,20150113,140000,0.5468000,0.5498000,0.5458000,0.5475000,33728000
HYDR,60,20150113,150000,0.5479000,0.5513000,0.5463000,0.5475000,38977000
HYDR,60,20150113,160000,0.5475000,0.5496000,0.5461000,0.5465000,29753000
HYDR,60,20150113,170000,0.5465000,0.5478000,0.5441000,0.5453000,25514000
HYDR,60,20150113,180000,0.5454000,0.5480000,0.5445000,0.5460000,23395000
HYDR,60,20150113,190000,0.5465000,0.5480000,0.5390000,0.5415000,55061000
HYDR,60,20150114,110000,0.5405000,0.5464000,0.5383000,0.5436000,28326000
HYDR,60,20150114,120000,0.5435000,0.5442000,0.5358000,0.5415000,22520000
HYDR,60,20150114,130000,0.5415000,0.5463000,0.5404000,0.5456000,33183000
HYDR,60,20150114,140000,0.5456000,0.5489000,0.5433000,0.5455000,54175000
HYDR,60,20150114,150000,0.5462000,0.5509000,0.5458000,0.5484000,37917000
HYDR,60,20150114,160000,0.5483000,0.5487000,0.5445000,0.5460000,36533000
HYDR,60,20150114,170000,0.5464000,0.5494000,0.5458000,0.5477000,37108000
HYDR,60,20150114,180000,0.5475000,0.5550000,0.5467000,0.5523000,106933000
HYDR,60,20150114,190000,0.5532000,0.5585000,0.5507000,0.5520000,73952000
HYDR,60,20150115,110000,0.5559000,0.5646000,0.5555000,0.5622000,51427000
HYDR,60,20150115,120000,0.5625000,0.5642000,0.5588000,0.5600000,78659000
HYDR,60,20150115,130000,0.5607000,0.5616000,0.5557000,0.5574000,53881000
HYDR,60,20150115,140000,0.5580000,0.5596000,0.5565000,0.5584000,40150000
HYDR,60,20150115,150000,0.5587000,0.5616000,0.5555000,0.5573000,36408000
HYDR,60,20150115,160000,0.5579000,0.5616000,0.5578000,0.5589000,17083000
HYDR,60,20150115,170000,0.5590000,0.5600000,0.5570000,0.5591000,26194000
HYDR,60,20150115,180000,0.5596000,0.5600000,0.5530000,0.5543000,60001000
HYDR,60,20150115,190000,0.5542000,0.5551000,0.5421000,0.5495000,59752000
HYDR,60,20150116,110000,0.5455000,0.5510000,0.5437000,0.5470000,17175000
HYDR,60,20150116,120000,0.5459000,0.5476000,0.5432000,0.5460000,23637000
HYDR,60,20150116,130000,0.5469000,0.5475000,0.5449000,0.5467000,20413000
HYDR,60,20150116,140000,0.5467000,0.5492000,0.5452000,0.5473000,39486000
HYDR,60,20150116,150000,0.5471000,0.5485000,0.5465000,0.5477000,9776000
HYDR,60,20150116,160000,0.5481000,0.5495000,0.5460000,0.5466000,50514000
HYDR,60,20150116,170000,0.5471000,0.5480000,0.5454000,0.5460000,17076000
HYDR,60,20150116,180000,0.5460000,0.5496000,0.5457000,0.5475000,21345000
HYDR,60,20150116,190000,0.5474000,0.5490000,0.5456000,0.5460000,40858000
HYDR,60,20150119,110000,0.5466000,0.5492000,0.5443000,0.5474000,40711000
HYDR,60,20150119,120000,0.5467000,0.5527000,0.5463000,0.5511000,82003000
HYDR,60,20150119,130000,0.5511000,0.5569000,0.5504000,0.5541000,93539000
HYDR,60,20150119,140000,0.5550000,0.5583000,0.5525000,0.5567000,43751000
HYDR,60,20150119,150000,0.5567000,0.5579000,0.5503000,0.5509000,50317000
HYDR,60,20150119,160000,0.5504000,0.5509000,0.5470000,0.5487000,40889000
HYDR,60,20150119,170000,0.5482000,0.5507000,0.5459000,0.5473000,44952000
HYDR,60,20150119,180000,0.5469000,0.5490000,0.5444000,0.5474000,29866000
HYDR,60,20150119,190000,0.5474000,0.5484000,0.5381000,0.5381000,94180000
HYDR,60,20150120,110000,0.5395000,0.5430000,0.5321000,0.5352000,53753000
