<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEX.SBER:SMAL,D,20220103,000000,295.7600000,305.7600000,295.7600000,303.0000000,96
MOEX.SBER:SMAL,D,20220104,000000,310.0000000,310.0000000,303.0000000,305.0000000,31
MOEX.SBER:SMAL,D,20220105,000000,300.0000000,304.7700000,289.0000000,292.0000000,54
MOEX.SBER:SMAL,D,20220106,000000,309.9900000,309.9900000,283.8000000,295.7900000,34
MOEX.SBER:SMAL,D,20220110,000000,299.0000000,300.9700000,287.8800000,294.9700000,54
MOEX.SBER:SMAL,D,20220111,000000,286.8000000,293.9700000,286.8000000,293.9200000,31
MOEX.SBER:SMAL,D,20220112,000000,294.8800000,309.9100000,286.1100000,290.4700000,54
MOEX.SBER:SMAL,D,20220113,000000,295.7700000,295.7700000,264.0200000,274.9700000,107
MOEX.SBER:SMAL,D,20220114,000000,274.7800000,279.9700000,250.0000000,261.0000000,134
MOEX.SBER:SMAL,D,20220117,000000,260.1400000,269.9800000,247.0400000,260.0200000,92
MOEX.SBER:SMAL,D,20220118,000000,257.0600000,274.9600000,227.7800000,238.9700000,186
MOEX.SBER:SMAL,D,20220119,000000,225.0000000,249.8800000,220.0100000,247.0000000,82
MOEX.SBER:SMAL,D,20220120,000000,249.0000000,264.9700000,240.8000000,253.6300000,73
MOEX.SBER:SMAL,D,20220121,000000,250.0000000,263.7700000,244.7900000,244.8900000,62
MOEX.SBER:SMAL,D,20220124,000000,246.0000000,254.4900000,225.0400000,235.0000000,111
MOEX.SBER:SMAL,D,20220125,000000,239.9900000,243.0000000,231.5000000,236.9300000,89
MOEX.SBER:SMAL,D,20220126,000000,236.8700000,245.4200000,231.0600000,236.7800000,124
MOEX.SBER:SMAL,D,20220127,000000,234.0100000,257.9000000,234.0100000,254.2900000,46
MOEX.SBER:SMAL,D,20220128,000000,264.7400000,264.7400000,250.9700000,260.0000000,46
MOEX.SBER:SMAL,D,20220131,000000,279.8200000,279.8200000,260.8800000,266.0000000,39
MOEX.SBER:SMAL,D,20220201,000000,272.0000000,272.0000000,259.0200000,263.0000000,63
MOEX.SBER:SMAL,D,20220202,000000,273.8700000,273.8700000,257.0000000,261.9600000,64
MOEX.SBER:SMAL,D,20220203,000000,274.9900000,274.9900000,250.5100000,252.0000000,55
MOEX.SBER:SMAL,D,20220204,000000,252.7800000,259.7700000,251.7900000,257.9700000,20
MOEX.SBER:SMAL,D,20220207,000000,259.9900000,260.0000000,250.7900000,260.0000000,18
MOEX.SBER:SMAL,D,20220208,000000,257.6100000,268.9000000,256.7900000,268.9000000,38
MOEX.SBER:SMAL,D,20220209,000000,275.7800000,279.9900000,269.0600000,279.8600000,61
MOEX.SBER:SMAL,D,20220210,000000,272.5500000,284.7500000,272.5500000,281.6900000,39
MOEX.SBER:SMAL,D,20220211,000000,269.0600000,285.9800000,262.6700000,262.6700000,85
MOEX.SBER:SMAL,D,20220214,000000,253.7100000,265.7700000,245.0300000,253.1200000,61
MOEX.SBER:SMAL,D,20220215,000000,268.7700000,273.0000000,260.8800000,272.9800000,26
MOEX.SBER:SMAL,D,20220216,000000,276.7900000,282.5000000,275.0000000,280.9800000,19
MOEX.SBER:SMAL,D,20220217,000000,273.2000000,282.5000000,260.7800000,261.5400000,69
MOEX.SBER:SMAL,D,20220218,000000,282.5000000,282.5000000,246.0000000,251.1000000,49
MOEX.SBER:SMAL,D,20220221,000000,250.2800000,259.9900000,186.0000000,187.0000000,216
MOEX.SBER:SMAL,D,20220222,000000,199.9800000,218.0000000,182.1000000,206.0800000,165
MOEX.SBER:SMAL,D,20220224,000000,180.0000000,190.0000000,88.6900000,135.0000000,332
