<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEX.TGKA:SMAL,D,20220103,000000,0.0117260,0.0117260,0.0107800,0.0107800,10042
MOEX.TGKA:SMAL,D,20220104,000000,0.0119680,0.0119680,0.0110600,0.0110600,2
MOEX.TGKA:SMAL,D,20220105,000000,0.0109920,0.0109920,0.0109880,0.0109880,516
MOEX.TGKA:SMAL,D,20220106,000000,0.0119760,0.0119760,0.0097800,0.0100000,14060
MOEX.TGKA:SMAL,D,20220110,000000,0.0110000,0.0110000,0.0101700,0.0109920,20594
MOEX.TGKA:SMAL,D,20220111,000000,0.0116620,0.0116620,0.0089020,0.0108640,76649
MOEX.TGKA:SMAL,D,20220112,000000,0.0108640,0.0108640,0.0097840,0.0100000,92735
MOEX.TGKA:SMAL,D,20220113,000000,0.0109980,0.0109980,0.0095740,0.0095740,63726
MOEX.TGKA:SMAL,D,20220114,000000,0.0099500,0.0099500,0.0080720,0.0097000,88965
MOEX.TGKA:SMAL,D,20220117,000000,0.0090000,0.0111280,0.0090000,0.0096000,6702
MOEX.TGKA:SMAL,D,20220118,000000,0.0089040,0.0094000,0.0089040,0.0091500,57822
MOEX.TGKA:SMAL,D,20220119,000000,0.0095700,0.0099380,0.0089040,0.0097940,173468
MOEX.TGKA:SMAL,D,20220120,000000,0.0092000,0.0107700,0.0090220,0.0107540,83936
MOEX.TGKA:SMAL,D,20220121,000000,0.0094240,0.0099940,0.0089500,0.0099940,38147
MOEX.TGKA:SMAL,D,20220124,000000,0.0095000,0.0095000,0.0090500,0.0090500,1097
MOEX.TGKA:SMAL,D,20220125,000000,0.0089500,0.0094000,0.0089500,0.0089500,653
MOEX.TGKA:SMAL,D,20220126,000000,0.0094000,0.0107220,0.0094000,0.0100000,7866
MOEX.TGKA:SMAL,D,20220127,000000,0.0099960,0.0099960,0.0099900,0.0099960,101
MOEX.TGKA:SMAL,D,20220128,000000,0.0099960,0.0099960,0.0092000,0.0092000,2736
MOEX.TGKA:SMAL,D,20220131,000000,0.0099300,0.0109980,0.0093000,0.0109980,96293
MOEX.TGKA:SMAL,D,20220201,000000,0.0104000,0.0104000,0.0092380,0.0103960,123124
MOEX.TGKA:SMAL,D,20220202,000000,0.0102400,0.0104000,0.0092380,0.0096400,120307
