<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PHOR,D,20210104,000000,3150.0000000,3214.0000000,3131.0000000,3187.0000000,99329
PHOR,D,20210105,000000,3193.0000000,3370.0000000,3186.0000000,3360.0000000,230061
PHOR,D,20210106,000000,3362.0000000,3374.0000000,3282.0000000,3311.0000000,120591
PHOR,D,20210108,000000,3350.0000000,3390.0000000,3331.0000000,3374.0000000,135748
PHOR,D,20210111,000000,3371.0000000,3422.0000000,3334.0000000,3401.0000000,97560
PHOR,D,20210112,000000,3411.0000000,3421.0000000,3316.0000000,3345.0000000,110576
PHOR,D,20210113,000000,3332.0000000,3402.0000000,3331.0000000,3385.0000000,136639
PHOR,D,20210114,000000,3380.0000000,3407.0000000,3337.0000000,3358.0000000,102759
PHOR,D,20210115,000000,3379.0000000,3425.0000000,3354.0000000,3375.0000000,99783
PHOR,D,20210118,000000,3420.0000000,3484.0000000,3367.0000000,3476.0000000,197159
PHOR,D,20210119,000000,3495.0000000,3533.0000000,3395.0000000,3424.0000000,165720
PHOR,D,20210120,000000,3422.0000000,3451.0000000,3394.0000000,3402.0000000,115488
PHOR,D,20210121,000000,3413.0000000,3470.0000000,3372.0000000,3453.0000000,312266
PHOR,D,20210122,000000,3461.0000000,3493.0000000,3432.0000000,3480.0000000,133440
PHOR,D,20210125,000000,3494.0000000,3645.0000000,3460.0000000,3641.0000000,262925
PHOR,D,20210126,000000,3635.0000000,3738.0000000,3615.0000000,3697.0000000,180449
PHOR,D,20210127,000000,3688.0000000,3698.0000000,3585.0000000,3623.0000000,137592
PHOR,D,20210128,000000,3623.0000000,3704.0000000,3586.0000000,3682.0000000,211912
PHOR,D,20210129,000000,3685.0000000,3745.0000000,3612.0000000,3644.0000000,262956
PHOR,D,20210201,000000,3628.0000000,3654.0000000,3593.0000000,3641.0000000,150902
PHOR,D,20210202,000000,3637.0000000,3684.0000000,3607.0000000,3629.0000000,190583
PHOR,D,20210203,000000,3637.0000000,3680.0000000,3625.0000000,3662.0000000,82809
PHOR,D,20210204,000000,3670.0000000,3708.0000000,3652.0000000,3699.0000000,62600
PHOR,D,20210205,000000,3712.0000000,3717.0000000,3665.0000000,3700.0000000,109594
PHOR,D,20210208,000000,3723.0000000,3723.0000000,3650.0000000,3667.0000000,104516
PHOR,D,20210209,000000,3661.0000000,3661.0000000,3611.0000000,3652.0000000,131283
PHOR,D,20210210,000000,3652.0000000,3662.0000000,3583.0000000,3621.0000000,93937
PHOR,D,20210211,000000,3645.0000000,3694.0000000,3618.0000000,3669.0000000,75777
PHOR,D,20210212,000000,3680.0000000,3700.0000000,3617.0000000,3698.0000000,84814
PHOR,D,20210215,000000,3699.0000000,3768.0000000,3695.0000000,3738.0000000,93872
PHOR,D,20210216,000000,3740.0000000,3791.0000000,3704.0000000,3776.0000000,110584
PHOR,D,20210217,000000,3787.0000000,3832.0000000,3719.0000000,3779.0000000,109138
PHOR,D,20210218,000000,3772.0000000,3800.0000000,3670.0000000,3733.0000000,152225
PHOR,D,20210219,000000,3732.0000000,3842.0000000,3654.0000000,3842.0000000,158346
PHOR,D,20210220,000000,3814.0000000,3944.0000000,3813.0000000,3893.0000000,65602
PHOR,D,20210222,000000,3866.0000000,3948.0000000,3860.0000000,3903.0000000,88136
PHOR,D,20210224,000000,3880.0000000,3958.0000000,3878.0000000,3929.0000000,112723
PHOR,D,20210225,000000,3939.0000000,3980.0000000,3914.0000000,3957.0000000,161875
